"Treatment","Frame","Experiment","Day","Replicate","Pointer","NearestNeighbor","PairwiseDistance"
"Control",1,1,1,1,"Robby",148.956411632868,346.587326881096
"Control",2,1,1,1,"Robby",146.120661920599,408.913678651718
"Control",3,1,1,1,"Robby",135.259203845397,374.614378805744
"Control",4,1,1,1,"Robby",205.439828486086,437.161058208118
"Control",5,1,1,1,"Robby",106.758524744048,450.275621777391
"Control",6,1,1,1,"Robby",142.186647350587,431.43501355686
"Control",7,1,1,1,"Robby",100.553584693063,398.319523656233
"Control",8,1,1,1,"Robby",76.3680144402999,419.712922596655
"Control",9,1,1,1,"Robby",163.073777824339,360.418395213046
"Control",10,1,1,1,"Robby",169.264794191566,388.637389478089
"Control",11,1,1,1,"Robby",121.134139717787,376.067060269953
"Control",12,1,1,1,"Robby",124.09206362307,373.8253912775
"Control",13,1,1,1,"Robby",133.171638959137,408.260351124531
"Control",14,1,1,1,"Robby",125.488843190169,402.703695312477
"Control",15,1,1,1,"Robby",113.204615051629,272.72419491758
"Control",16,1,1,1,"Robby",164.276516202969,337.360228913237
"Control",17,1,1,1,"Robby",93.3058960578347,300.244378969454
"Control",18,1,1,1,"Robby",165.232262731998,492.424886168415
"Control",19,1,1,1,"Robby",135.744730515616,432.89369692744
"Control",20,1,1,1,"Robby",129.626682902809,442.413994563248
"Control",21,1,1,1,"Robby",146.674616023503,356.429431986296
"Conspecific",1,2,1,1,"Vincent",101.504891570116,380.604206379677
"Conspecific",2,2,1,1,"Vincent",145.719206552335,440.972960305242
"Conspecific",3,2,1,1,"Vincent",128.926236092151,364.694880001524
"Conspecific",4,2,1,1,"Vincent",86.8330874602988,241.354161161777
"Conspecific",5,2,1,1,"Vincent",76.0802068193291,298.109221196048
"Conspecific",6,2,1,1,"Vincent",125.221778815594,344.284657444118
"Conspecific",7,2,1,1,"Vincent",110.987812004488,354.295664625308
"Conspecific",8,2,1,1,"Vincent",121.488724474487,415.680660452456
"Conspecific",9,2,1,1,"Vincent",154.896031462774,432.549325307379
"Conspecific",10,2,1,1,"Vincent",198.641305437599,432.883950245431
"Conspecific",11,2,1,1,"Vincent",115.399685970887,349.049597927708
