"Treatment","Frame","Experiment","Day","Replicate","Pointer","NearestNeighbor","PairwiseDistance"
"Control",1,1,1,1,3,120.681089798064,376.152493031116
"Control",2,1,1,1,3,174.112325111468,371.493416641564
"Control",3,1,1,1,3,106.647560748378,389.194197686036
"Control",4,1,1,1,3,124.597380265607,374.373959985757
"Control",5,1,1,1,3,148.961975433574,449.155646029058
"Control",6,1,1,1,3,143.300114369035,466.885666482706
"Control",7,1,1,1,3,132.442762932968,407.904993289646
"Control",8,1,1,1,3,148.298206914343,460.236557013112
"Control",9,1,1,1,3,121.365874559363,386.807388052108
"Control",10,1,1,1,3,125.109106353707,401.65323756567
"Control",11,1,1,1,3,150.526680402538,411.104908325363
"Control",12,1,1,1,3,144.995907655462,309.774519371636
"Control",13,1,1,1,3,112.315746369727,271.768591275153
"Control",14,1,1,1,3,75.3994978974508,253.396653634922
"Control",15,1,1,1,3,86.0582065021002,281.879563580959
"Control",16,1,1,1,3,164.622671831176,337.810124034853
"Control",17,1,1,1,3,144.245511439971,383.844754313179
"Control",18,1,1,1,3,162.24050965425,346.483309199748
"Control",19,1,1,1,3,93.4062609247222,300.564608252766
"Control",20,1,1,1,3,172.289673551434,423.01373375263
"Control",21,1,1,1,3,68.7045083049827,446.438927996444
"Control",22,1,1,1,3,164.876635245741,491.783553503319
"Control",23,1,1,1,3,152.907385410117,358.657044859887
"Control",24,1,1,1,3,154.80216758949,444.917132553751
"Control",25,1,1,1,3,136.419655698653,432.970855777143
"Control",26,1,1,1,3,49.1274001034866,396.185370041644
"Control",27,1,1,1,3,157.422865461368,432.984137711332
"Control",28,1,1,1,3,128.459925584128,441.281684520875
"Control",29,1,1,1,3,203.726295093166,442.932510443711
"Control",30,1,1,1,3,157.234463290907,348.241149357987
"Control",31,1,1,1,3,145.716484786804,356.14435756597
"Conspecific",1,2,1,1,3,113.875370793435,349.026461250023
"Conspecific",2,2,1,1,3,154.601949446542,339.48545806999
"Conspecific",3,2,1,1,3,162.278978888678,316.026507903481
"Conspecific",4,2,1,1,3,164.307280448362,382.522421359816
"Conspecific",5,2,1,1,3,182.504948025266,438.821903787275
"Conspecific",6,2,1,1,3,167.923811188417,430.317955288044
"Conspecific",7,2,1,1,3,128.628738452711,351.102330600637
"Conspecific",8,2,1,1,3,125.939218449367,380.258309706118
"Conspecific",9,2,1,1,3,147.738526423187,361.479698611653
"Conspecific",10,2,1,1,3,166.490861728424,398.344353733038
"Conspecific",11,2,1,1,3,172.15631412153,441.095815009006
"Conspecific",12,2,1,1,3,113.149127010762,419.494074508324
"Conspecific",13,2,1,1,3,131.189988939091,466.022497860828
"Conspecific",14,2,1,1,3,161.999484790048,421.813842970157
"Conspecific",15,2,1,1,3,120.698269903251,296.255812991747
"Conspecific",16,2,1,1,3,158.802510357198,458.90131429672
"Conspecific",17,2,1,1,3,65.2425335929032,275.606662922408
"Conspecific",18,2,1,1,3,130.905377652635,403.315465470582
"Conspecific",19,2,1,1,3,105.466786008007,392.252014474294
"Conspecific",20,2,1,1,3,98.0339892286671,325.184205944878
"Conspecific",21,2,1,1,3,136.672777934387,323.025095189799
"Conspecific",22,2,1,1,3,104.385466779934,365.713838345197
"Conspecific",23,2,1,1,3,99.4443809758515,371.799747664355
"Conspecific",24,2,1,1,3,151.417459791697,282.541274630206
"Conspecific",25,2,1,1,3,133.411211423246,348.887315187724
"Conspecific",26,2,1,1,3,160.049981629931,342.777348015858
"Conspecific",27,2,1,1,3,163.284574063808,384.406018051468
"Conspecific",28,2,1,1,3,164.682121415284,343.775845439521
"Conspecific",29,2,1,1,3,162.51559891616,396.218493852636
"Conspecific",30,2,1,1,3,165.910034535132,361.699268624596
"Conspecific",31,2,1,1,3,116.697787738544,269.02361490228
"Combined",1,3,1,1,3,107.54952510415,466.416721456238
"Combined",2,3,1,1,3,172.720579303736,465.33157248999
"Combined",3,3,1,1,3,188.532686775134,414.821909287683
"Combined",4,3,1,1,3,152.059457847797,469.230148508043
"Combined",5,3,1,1,3,146.182024542688,489.058820892905
"Combined",6,3,1,1,3,107.421964442847,341.293435205931
"Combined",7,3,1,1,3,147.07867412873,403.338170919736
"Combined",8,3,1,1,3,190.653368885071,394.314676014984
"Combined",9,3,1,1,3,162.023712898105,412.367064194543
"Combined",10,3,1,1,3,102.110138067625,379.318396038604
"Combined",11,3,1,1,3,170.125983717834,433.621826839272
"Combined",12,3,1,1,3,129.045796388365,544.793726860135
"Combined",13,3,1,1,3,210.40755663259,421.265173845365
